PPH1	PPH2	PPH3	PPH4
ENSG00000230724.9	0.916250383867044	1.087872212537e-08	0.0198158010733275	0.0639333027842008
ENSG00000177951.17	0.886543619922955	8.22449228376333e-09	0.0336483445789252	0.0798078110930586
ENSG00000177963.14	0.901839703582552	7.55474242900567e-09	0.0309143024094921	0.0672457665427488
ENSG00000142082.14	0.809347379272919	8.47351740510512e-09	0.0345933304996206	0.156059084397409
ENSG00000185627.17	0.898315650784726	9.02928425998412e-09	0.0369638360291819	0.0647202851056705
ENSG00000277290.1	0.856349427510247	1.0362778755489e-08	0.0423958832675323	0.101254470041623
ENSG00000174885.12	0.858395578620783	1.76127447642247e-08	0.0721593713716887	0.0694448230780177
ENSG00000255026.1	0.870333247835257	1.17988644410187e-08	0.0483050781666603	0.0813614499714938
ENSG00000142102.15	0.825598091387265	1.16240302794701e-08	0.0475425960442222	0.126859099625269
ENSG00000206013.2	0.873803437056052	1.17038771207678e-08	0.0479186245658884	0.0782777136002638
ENSG00000185201.16	0.881632581300254	1.25898035709256e-08	0.051563229870818	0.0668039612560972
ENSG00000254910.1	0.884136530932956	1.272928773107e-08	0.052138325141086	0.0637249156030631
ENSG00000185885.15	0.874724713422426	1.48928648442983e-08	0.0610104862320072	0.0642645721541321
ENSG00000251661.3	0.831546977533693	1.36482604667199e-08	0.0558581077575458	0.112594698290672
ENSG00000142089.15	0.879297990416094	1.35838117959044e-08	0.0556413418595668	0.0650604397267813
ENSG00000270030.1	0.886728891546722	1.19221060562595e-08	0.048827402655339	0.0644434776500875
ENSG00000255328.1	0.885936207331254	1.23099784030303e-08	0.0504188427803481	0.0636447215459676
ENSG00000270972.1	0.883703697287767	1.20748059880196e-08	0.0494512145885067	0.066844860560858
ENSG00000182272.11	0.838334355163248	1.43396171515825e-08	0.058702952527777	0.102962473544452
ENSG00000184363.9	0.870997686297259	1.24431656727943e-08	0.0509506290947091	0.0780514597751204
ENSG00000185187.12	0.868779879194027	1.28103916612297e-08	0.0524558884310898	0.0787640077155495
ENSG00000243562.3	0.889810708862545	1.13983585794597e-08	0.0466804803744114	0.0635085823874499
ENSG00000185101.12	0.821975769976298	2.08286863329356e-08	0.0853245013240833	0.0926995074350102
ENSG00000174915.11	0.874315433215004	1.12577288938938e-08	0.046087678336735	0.0795966639917641
ENSG00000255237.1	0.891275670936294	1.10980315149893e-08	0.0454490905610307	0.0632750100701815
ENSG00000023191.16	0.884736987349098	1.16071387317779e-08	0.0475324535821254	0.0677303317216117
ENSG00000254739.1	0.887391488800575	1.18830554265927e-08	0.0486677613073277	0.0639405216217242
ENSG00000174775.16	0.879945897111489	1.4122118660814e-08	0.0578517645484361	0.06220210964622
ENSG00000161328.10	0.888114929587362	1.20138162714224e-08	0.0492052646803942	0.0626795771547021
ENSG00000254815.5	0.890172134041692	1.14449144322442e-08	0.046871956051982	0.0629556813960443
ENSG00000099849.14	0.886278807931501	1.17907437145083e-08	0.0482877037409548	0.0654332604208069
ENSG00000185522.8	0.876717662683897	1.18948544419921e-08	0.0487055122882889	0.0745765993484182
ENSG00000247095.2	0.889126358745191	1.16219520581826e-08	0.0475976567261564	0.06327575609634
ENSG00000070047.11	0.86798926112185	1.20965297038016e-08	0.0495246612584407	0.0824858538670263
ENSG00000185507.19	0.875409944453389	1.13631020844837e-08	0.0465213356778775	0.0780684950399721
ENSG00000099834.18	0.890566639428651	1.08665351039834e-08	0.0444980775365261	0.0649350550067213
ENSG00000070031.3	0.85295824363543	1.14401663822321e-08	0.0468152139403667	0.100226322993146
ENSG00000069696.6	0.862191881642936	1.20204444753548e-08	0.0492065247553595	0.0886013713387791
ENSG00000255158.1	0.870300137059443	1.22610463459179e-08	0.0502023227373147	0.0794973157225447
ENSG00000177106.14	0.869273532593451	1.20791359570747e-08	0.0494545446953443	0.0812716986627515
ENSG00000177042.14	0.86316379271553	1.25937067499725e-08	0.0515607653177414	0.0852752188935437
ENSG00000177030.16	0.841648357827237	1.09962128499773e-08	0.0449814433137521	0.113369982629783
ENSG00000269915.1	0.885607475413883	1.12057066644703e-08	0.0458854280701019	0.0685068693580154
ENSG00000177156.10	0.873939002439022	1.20068114096251e-08	0.0491623192837894	0.0768984531634016
ENSG00000177225.16	0.853421359165052	1.19834796331751e-08	0.0490460030951347	0.0975324176525139
ENSG00000255284.1	0.790012083517391	1.18790394090605e-08	0.0485537984669926	0.161433913494887
ENSG00000279672.1	0.790401026001475	1.42813343492462e-08	0.0584157176544731	0.151183049326187
ENSG00000255142.1	0.84051298271076	1.37453574955722e-08	0.0562656704540377	0.103221128133688
ENSG00000184524.5	0.869508954975421	1.19921695223172e-08	0.0490977791882449	0.0813930418174399
ENSG00000177542.10	0.882554127173668	1.15389057412537e-08	0.0472501690107337	0.070195477068948
ENSG00000274897.2	0.887036030319597	1.1528933173564e-08	0.0472137175579853	0.0657500242928447
ENSG00000177595.17	0.789287773237886	1.26898895553402e-08	0.0518816501154746	0.15883037149168
ENSG00000177600.8	0.863719881216638	1.2419998404267e-08	0.0508482413130662	0.0854316544352189
ENSG00000199785.1	0.872976739728404	1.20866472537677e-08	0.0494890858244283	0.0775339494881894
ENSG00000177666.16	0.882880186436026	1.29308292943506e-08	0.0529644048111289	0.0641551805347625
ENSG00000177685.16	0.869396049258716	1.25621387641974e-08	0.051437415798694	0.0791663103812586
ENSG00000255108.1	0.781135324110046	1.37390501829279e-08	0.0561803415389283	0.162684130134853
ENSG00000177697.17	0.829010961221533	2.54416105283562e-08	0.104267806927134	0.0667210042582927
ENSG00000177700.5	0.861186423354274	1.28096367160924e-08	0.0524451882882569	0.0863681655505287
ENSG00000214063.10	0.83787072312954	1.55243593122668e-08	0.0635659088189735	0.0985631482152761
ENSG00000250397.2	0.856418549155177	1.17195767988595e-08	0.0479656701631904	0.095615560127381
ENSG00000177830.17	0.88781206390799	1.17119087693771e-08	0.0479656175011946	0.0642220903890334
ENSG00000183020.13	0.878478448485779	1.20916270225667e-08	0.0495150352188742	0.072006289989817
ENSG00000184956.15	0.760945197761752	4.00620090909001e-08	0.164217073255328	0.0748375033670791
ENSG00000254872.3	0.859409330193935	1.92361121522884e-08	0.0788243830089973	0.0617660579969903
ENSG00000215182.8	0.875815544368073	1.42743317890626e-08	0.0584724718660565	0.0657117559269755
ENSG00000117983.17	0.283856848069076	1.69025998676894e-07	0.693142542762845	0.0230003709245788
ENSG00000078902.15	0.578541460882162	1.52566607850742e-08	0.0622074052900365	0.359250977495824
ENSG00000255153.1	0.87908625638023	1.42010596818213e-08	0.0581749605241854	0.0627385545324084
ENSG00000174672.15	0.873572823028851	1.21944919130889e-08	0.0499323897299953	0.0764945620289781
ENSG00000182208.13	0.886663084296921	1.23573952659044e-08	0.0506142187611419	0.0627224683748422
ENSG00000233930.3	0.815699742660364	1.53163873223021e-08	0.0626899811738248	0.121610061943889
ENSG00000184545.10	0.887748274650423	1.20089358028688e-08	0.0491848631132348	0.0630666337530887
ENSG00000205869.2	0.862660244216807	1.32722160429345e-08	0.0543455727344863	0.0829939594198015
ENSG00000244242.1	0.87145084712122	1.34646871115958e-08	0.0551444746189404	0.0734044522949044
ENSG00000235027.1	0.883648732101482	1.23590349957633e-08	0.0506179325563975	0.0657331075084257
ENSG00000229512.1	0.88967606139042	1.15219148942543e-08	0.0471875498769975	0.0631361602662653
ENSG00000117984.13	0.869095392566397	1.27171788713623e-08	0.0520735615236995	0.0788308212668458
ENSG00000149043.16	0.885711105920401	1.24660775852766e-08	0.0510594116876029	0.0632292539483566
ENSG00000130598.15	0.882202976069808	1.29341069263191e-08	0.0529771817508291	0.0648196141231381
ENSG00000130592.15	0.880650177402531	1.11832952206775e-08	0.0457884658137935	0.0735611308569082
ENSG00000283787.1	0.878844756308025	1.26912003788962e-08	0.0519766777572771	0.0691783389402715
ENSG00000229671.1	0.884560375909174	1.27839263366255e-08	0.0523630433682418	0.0630763522416981
ENSG00000130595.17	0.881805987203942	1.17098710589423e-08	0.0479512405170359	0.0702425455438383
ENSG00000214026.10	0.881103118789449	1.17628065777228e-08	0.0481678396541086	0.0707288149397154
ENSG00000226416.1	0.858774294582404	1.4594768582165e-08	0.0597708211455781	0.0814546602681347
ENSG00000130600.17	0.886869740475582	1.16328779694115e-08	0.0476402492103713	0.0654897824210773
ENSG00000099869.7	0.903417790106251	1.24676179874876e-08	0.0282773770414573	0.0683044230236893
ENSG00000167244.18	0.906434618671829	1.73515709995944e-08	0.0279373213232774	0.0656274809958795
ENSG00000254647.6	0.125415633072106	0.0219477913268753	0.00326941320759495	0.0100145957765726
ENSG00000180176.14	0.109143103407673	0.0203504177912836	0.00257612573377046	0.00861479300400608
ENSG00000183734.4	0.000981551305796198	0.000878265490043743	7.66354187602782e-07	9.73996661885559e-05
