PPH1	PPH2	PPH3	PPH4
CRYBB2	0.910541178508214	1.12719426881461e-08	0.0837861827421707	0.00567250498882305
RAF1	0.909999520050034	1.08197440289743e-08	0.0804207819593988	0.00957956475483891
ZNF41	0.886638110412664	1.34963913905309e-08	0.100314616425858	0.0130471403917513
ELK1	0.90509998395652	1.20381302113391e-08	0.0894820193981424	0.00541786285032339
GUCA1A	0.915428072509882	1.01441836211417e-08	0.0753992987059431	0.00917249549374233
OCRL	0.922002990948933	9.76690790700757e-09	0.0725985312711813	0.00539834398224971
SPDEF	0.894348803816	1.14202580979136e-08	0.0848736049819782	0.0207774594711629
SNAI2	0.898455926355771	1.2970805241592e-08	0.0964155033314189	0.00512843647890083
KCNAB2	0.894966154940157	1.33597317807267e-08	0.0993060540366481	0.00572765726981363
POLH	0.922742215067185	9.69541616551594e-09	0.0720672935414362	0.00519035756579112
VDR	0.919453302356878	1.01093915472876e-08	0.0751444364233	0.00540212742269442
HOGA1	0.909715919197576	1.09154692640649e-08	0.0811327997860052	0.00915114772311534
MUTYH	0.905345154029984	1.19278893566539e-08	0.088661950824547	0.00599276142771617
DUSP4	0.918787720869509	1.02236960805935e-08	0.075994322431789	0.00521782287680526
ZHX3	0.873890514916647	1.03079364777829e-08	0.0765762220819858	0.0495331351349431
SIGLEC12	0.923242269385563	9.55622999344115e-09	0.0710320949050854	0.00572550195568108
TP63	0.914192613446405	1.082370156372e-08	0.0804544276899209	0.00535282505991978
SGK3	0.912604226495474	1.08075265734036e-08	0.0803324778800451	0.00706316205057604
BRD4	0.910270259372867	1.09223587597279e-08	0.0811846201551569	0.00854498709721212
WNT10A	0.828464760455051	2.21537581027995e-08	0.164676776380762	0.00685832956275542
CUL3	0.905243694757251	1.20128602022083e-08	0.0892941264124439	0.00546204504123031
BIRC2	0.915498094911817	1.00814571950534e-08	0.074932614753819	0.00956915709723723
NCF2	0.918157992870242	1.0239962401407e-08	0.0761147315060767	0.00572714187023244
CBFB	0.915951000111222	1.05008888154284e-08	0.0780541036546094	0.00599476251668381
TERF1	0.917572981674733	1.01363253540205e-08	0.0753429715564232	0.00708391319772866
ILK	0.910755120522052	1.12959115260181e-08	0.0839647515842571	0.00527999408014892
GAN	0.910460693986136	1.09965710272192e-08	0.0817370321992505	0.00780214034001929
FOXM1	0.916508415321678	1.04798455125335e-08	0.0778980761606088	0.00559337474628727
RAD23A	0.914999364877075	1.07096923643221e-08	0.0796068806038994	0.00539362072075432
RBBP9	0.915511575769684	1.05193217606148e-08	0.0781908253067376	0.00629746524677446
PLCG2	0.912660155892893	1.09976344724087e-08	0.0817471470724991	0.0055925632630713
BRD2	0.920075458709372	9.94123058334426e-09	0.0738937554863014	0.00603065209166573
ACBD6	0.912209461671	1.11049010928095e-08	0.0825448783208075	0.00524552619001879
AP4M1	0.903950624891132	1.07172143872049e-08	0.0796517929793183	0.0163974498100678
NEFL	0.85924126012275	1.78272281141705e-08	0.132513411357635	0.0082451951045619
STAR	0.919522150269976	1.01135583088656e-08	0.075175510658644	0.00530220526082304
APRT	0.922089582132639	9.76735721769034e-09	0.0726019613178954	0.00530832273973071
ASMTL	0.916655693911332	1.04494855332853e-08	0.0776723117342944	0.00567186059349476
STUB1	0.90459318720432	1.19603621386396e-08	0.088902831548368	0.0065038475982428
ENO2	0.909282215954219	1.12890289868624e-08	0.0839120634952193	0.00680558694204315
IL10RA	0.920158113235224	9.70097566556047e-09	0.0721060756869444	0.00773567759430683
STAT3	0.911068343464948	1.11725185109637e-08	0.0830468844998317	0.00588463830293618
JUN	0.913148035735347	1.03816750154634e-08	0.0771642152495544	0.0096876157938911
OAS1	0.911335701644138	1.08896519644133e-08	0.0809423119024054	0.00772185296807258
SMAD3	0.916963472732565	1.04726133821249e-08	0.0778447166178033	0.00519167682422079
SMAD2	0.916059054723583	1.05451977874544e-08	0.0783839196167459	0.00555689188334101
PDGFRA	0.894434647008362	1.33420799438035e-08	0.0991741727903331	0.00639104653707651
