PPH1	PPH2	PPH3	PPH4
ENSG00000177697	0.890244532936119	5.7735050445984e-06	0.0253906128041238	0.0841573191185147
ENSG00000070047	0.899966331124524	4.48411348047657e-06	0.0197053933478133	0.0801198264666063
ENSG00000177951	0.908359634016886	3.14548152289414e-06	0.0138013530751259	0.077630000150063
ENSG00000177963	0.908537906475669	3.01168121119657e-06	0.0132105661277559	0.0780426080393232
ENSG00000185187	0.892063363127083	4.27838417499533e-06	0.0187888205006217	0.0889413641391638
ENSG00000174915	0.903666995473993	4.89086881529253e-06	0.0215056455916271	0.0746176644134895
ENSG00000177666	0.905655991309254	4.78119879656228e-06	0.0210232491675558	0.0731107238938644
ENSG00000183020	0.904870987578201	4.87802164645578e-06	0.0214501080002996	0.0734689498795849
ENSG00000142089	0.907765117156795	4.38105314113927e-06	0.0192580073181985	0.0727667620370735
ENSG00000099849	0.873841069431754	4.43526652399983e-06	0.019463489962642	0.106492961321484
ENSG00000078902	0.866247281036937	4.42278707209494e-06	0.0194007679115072	0.114151205274218
ENSG00000177030	0.881001591597351	4.88174108618793e-06	0.0214426372265776	0.0973512225838694
ENSG00000177225	0.90910207358201	4.37909771427542e-06	0.0192507092345763	0.0714368026481861
ENSG00000177685	0.906364252494545	4.97533791298054e-06	0.0218814272096297	0.0715439300097613
ENSG00000174775	0.87530465355847	4.52243933157565e-06	0.0198499780728139	0.104642470210646
ENSG00000185885	0.841714031721912	4.11763918673538e-06	0.0180284348060747	0.140062652964908
ENSG00000117983	0.883929094633749	4.18211099565656e-06	0.0183554592154904	0.0975109337104915
ENSG00000149043	0.903531545588823	4.96354139916036e-06	0.0218264884702095	0.0744322294453408
ENSG00000142102	0.907196615283208	4.4287197113797e-06	0.0194679706623703	0.0731253817430224
ENSG00000177106	0.908264805943275	4.38709528822298e-06	0.0192851944283097	0.0722397668507677
ENSG00000023191	0.87670333483535	4.27167857515148e-06	0.0187438244825697	0.104349876292961
ENSG00000177156	0.889344668328209	4.52374340349961e-06	0.01986979511986	0.0905794551142235
ENSG00000117984	0.853511562970476	4.49124838382656e-06	0.0196903948065008	0.126600114359094
ENSG00000185627	0.901922704554562	4.0999407603876e-06	0.0180105472192876	0.0798582399504047
ENSG00000142082	0.87658575555778	3.8291571692713e-06	0.0167891849923905	0.106422564182599
ENSG00000214026	0.906722179379139	4.53435112306163e-06	0.0199340458850018	0.0731337443173958
ENSG00000177600	0.761718407164388	3.83172089389622e-06	0.0166855040200695	0.221419624130934
ENSG00000177700	0.892874774398587	4.29486437632314e-06	0.0188624222592051	0.0880561507337089
ENSG00000185201	0.907491146040026	4.2065594243924e-06	0.0184870334212454	0.0738119436362843
ENSG00000182208	0.907996415082366	4.41022061910496e-06	0.0193870651049444	0.0724063247367959
ENSG00000177042	0.90620720291466	4.22460974962723e-06	0.0185654721375737	0.0750177209829866
ENSG00000130598	0.908680318578132	4.03649103705819e-06	0.017737070151434	0.073372634926835
ENSG00000214063	0.908850712532132	4.39403609686053e-06	0.0193164370485052	0.0716224779132656
ENSG00000184363	0.909276966287511	4.24986518831351e-06	0.0186800932754045	0.0718326154973653
ENSG00000130592	0.899224905175891	4.18710464882391e-06	0.0183928296526432	0.0821742811531989
ENSG00000177830	0.876826645173672	4.00395220873171e-06	0.0175614606632384	0.10540916955375
ENSG00000185507	0.90944411412708	4.0789545386562e-06	0.0179253866423147	0.0724203073197854
